;sentence;is_claim;to_exclude
0;Ärger über Gasmasken-Eklat Samstag, 1 Juli, 122 Uhr: In der AfD regt sich Unmut über den provozierenden Gasmasken-Auftritt des Landtagsabgeordneten Stefan Löw im Plenum;1;0
1;Dabei hatte die Projektleitung eigentlich ein paar Erfolge seit dem vergangenen Treffen im September zu berichten;0;0
2;Trotz der beiden Bike-Lanes ist der Verkehr auf den verbliebenen vier Fahrspuren so heftig und laut, dass die von Husein befürchtete Autofreiheit der Stadt weder unmittelbar droht noch überhaupt als Drohung erscheint;1;0
3;Interessant ist, dass es der Civey-Umfrage zufolge für mögliche neue Restriktionen quer durch alle Altersgruppen Zustimmung gäbe;1;0
4;Die Salzburger Festspiele aber haben sich zumindest in ihrem ersten Pas de deux mit der Seuche glänzend geschlagen;0;0
5;2014 erschien die Piano-Solo-CD „It’s my way to paradise“;1;0
6;"Er forderte Studierende der Medizin und kürzlich verrentete Medizinerinnen und Mediziner auf, in dieser ""besonderen Lage"" in die Krankenhäuser zurückzukehren";1;0
7;;2;1
8;70 Prozent der Bewohner seien arbeitslos, überlebten mit Tagesjobs und Schwarzarbeit, sagt Ruipérez;1;0
9;Wladimir Putin hat am Dienstag per Videoschalte aus Moskau anlässlich der 7 UN-Generalversammlung eine Rede gehalten;1;0
10;Das Abschiebeverbot gelte immer dann, wenn die Kläger bereits in Griechenland als Flüchtlinge anerkannt worden waren;1;0
11;Das lässt sich zum Teil mit der veränderten Risikowahrnehmung erklären;0;0
12;Dessen Autorinnen wurden regelmäßig von Meyer attackiert („Giftnattern“, „dummdreiste Art“, „minderbeschäftige (sic\.), minderkompetente Berlinerinnen“, „Köroerandiemedienverkäuferin (sic\.)“);1;0
13;Gemeinsame Urlaube, die Paare sonst zusammenbringen, fielen weg;0;0
14;Das wird nämlich nicht passieren, ganz egal, wieviel Kreide der Parteivorsitzende der vormaligen Alternative für Deutschland noch frißt, um sich nicht als der Wolf karikieren lassen zu müssen, der die lieben Schlafschäfchen in der ach-so-einwandfreien Demokratie frißt;0;0
15;Dabei geht es um die vermutlich letzte Chance, die Feinde des Rechtsstaats in Ungarn und Polen sowie deren Nachahmer nachhaltig in die Schranken zu weisen;0;0
16;Ähnlich sieht es beim Verfassungsgericht aus, in dem fast alle der 15 Richter von Fidesz und deren Satellitenpartei, der KDNP nominiert und ohne Zustimmung der Opposition gewählt wurden;1;0
17;Videoaufnahmen zeigten die demokratische Aktivistin Michele Hangley, die sich gegenüber der republikanischen Anwältin Pam Bondi weigerte, den Gerichtsbeschluss zu befolgen;1;0
18;In seiner ersten Sprachnachricht verteidigte Wendler seine Kritik an den staatlichen Corona-Maßnahmen;1;0
19;Wie Borgo sagte, finden die meisten Ansteckungen im Familienkreis, in der Arbeit und im privaten Umfeld statt, teilweise werden sie auch aus anderen Landkreisen eingetragen;1;0
20;"Die sollten alle Kulturschaffenden erhalten, die dem Virus selbstaufopfernd trotzen: Ben Davids Kulturlieferdienst, der die erste Post-Lockdown-Show auf Münchens Straßen stellte und am 2 Oktober bereits die 5 bietet: Jean-D'azz am Hans-Mielich-Platz; Hans-Georg Stocker, der in seinem Backstage Rock-Medizin gegen Sars-CoV-2 verabreicht; oder Till Hofmann, dessen Eulenspiegel Flying Circus im Waldorf-Schultheatersaal Leo 17 überwintert (Start: 1 mit Horst Evers)";0;0
21;Wir haben uns sogar auf einer Pilgerreise quer durch Spanien kennengelernt;0;0
22;Unterstützung erhalten Betroffene beispielsweise bei Wildwasser e.V.;1;0
23;Wegen der Corona-Pandemie hatten Millionen Amerikaner dieses Jahr aber per Brief abgestimmt, weshalb sich die Auszählung der Stimmen hinzog;1;0
24;Ein 20-Milliarden-Euro-Riesenbeschleuniger: Haben aktuell nicht ganz andere Forschungsfelder Priorität\?;0;0
25;So muss man etwa davon ausgehen, dass sehr viele Menschen, die keine oder leichte Symptome zeigen oder zeigten, infiziert sind oder waren, aber nicht in diese Statistik eingehen, weil sie nicht getestet werden beziehungsweise wurden;0;0
26;Die großen Entsorgungs-Lkw bleiben also öfter mal stecken - und die Abholung muss auf den nächsten Tag verschoben werden;0;0
27;Die Idee, dass selbst diese Pandemie den schlafwandelnd weiterbummelnden Koloss der Weltgeschichte nicht wecken konnte, sondern dass es alles wieder so weitergehen soll wie zuvor, ist mir ein Graus;0;0
28;"Aus Russland hat Argentinien mehrere Millionen Dosen des Impfstoffs ""Sputnik V"" geordert, mit anderen Herstellern ist das Land in Verhandlungen.";1;0
29;Wir haben für diese Sonderausgabe hochkarätige Autoren gewinnen können: *Bestsellerautor Gerhard Wisnewski beschreibt den Vormarsch des chinesischen Modells über WHO und Weltwirtschaftsforum;1;0
30;Eine Vermögensabgabe und/oder ein Lastenausgleich sind keine Tabus mehr;0;0
31;Die Begrenzung auf deutlich unter zwei Grad, besser noch 1,5 Grad, im Pariser Abkommen war eine Entscheidung der Politik;1;0
32;Aufgrund der dynamischen Entwicklung der Corona-Pandemie sei nicht absehbar, wann und wie die derzeit unterbrochene Verhandlung fortgesetzt werden könne, teilte das Gericht mit;1;0
33;Wer die Vergangenheit einer Geschichte nicht kennt — oder auch die Parallelen nicht zu erkennen vermag — ist verdammt, sie zu wiederholen;0;0
34;Zudem verzeichnete das RKI am Donnerstagmorgen 440 neue Todesfälle binnen eines Tages;1;0
35;"""Die wichtigsten Wochen im Jahr sind im Dezember schon weggebrochen und jetzt geht es weiter";0;0
36;„Wir müssen das jetzt experimentell testen;0;0
37;Wenn Sie beispielsweise eine Gruppe kleiner Geschäfte im Besitz von Schwarzen oder Hispanics (spanischsprachige Südamerikaner, oft gemischt mit Indern) in der Opportunity Zone haben, werden Sie diese Geschäfte zunächst für irrelevant erklären und ihnen befehlen, das Geschäft zu schließen, denn hier haben wir ein magisches Virus;0;0
38;Er weiß warum – aber der Club of Rome selbst hebt ihn auf dessen Homepage als „Führungsperson“ besonders hervor: „Prof;1;0
39;In dem ersten Video geht es um den Unterschied zwischen Berichten und Meinungsbeiträgen;1;0
40;Schmallenbach, dunkler Anzug, Schal um den Hals, Kladde unterm Arm, eilt durch die Räume, die er als Leiter des Impfzentrums nun verantwortet;1;0
41;Seine Studenten stammen aus aller Welt, viele dürfen coronabedingt nicht reisen;1;0
42;However, the city has not yet been locked down;2;1
43;Einige Autofahrer berichteten gegenüber der Zeitung von mehr als zehn Stunden Wartezeit;0;0
44;"Die Moskauer hätten ""die einmalige Gelegenheit"", über eine Teilnahme dazu beizutragen, das Coronavirus zu besiegen, sagte Sobjanin";1;0
45;Derzeit sehen wir vor allem bei den Goldminenaktien außergewöhnlich attraktive Kaufgelegenheiten;0;0
46;Dass der Verfassungsschutz keine Anzeichen dafür sehen wollte, dass die Demo von Rechtsextremen unterwandert werde, sagt mehr über den Zustand der Behörde aus als über das Mindset der Querfront-Demonstranten;0;0
47;Die EU-Finanzaufsicht ESMA scheint das ähnlich zu sehen;0;0
48;Und egal was sie dort sagt, selbst wenn ein Gewitter die Pferde scheu machte, die Botschaft steht fest: Markus Söder war wieder schneller – und Merkel gönnt es ihm;1;0
49;Kritisch bleiben;0;0
50;Im Außenbereich der Villa laufen die Drehvorbereitungen zu einem Film über die „Wannseekonferenz“, bei der führende Nazis am 2 Januar 1942 zahlreiche Details des Holocaust besprachen;1;0
51;Strikt ist hingegen die Open-Air-Sperrstunde: Um 20 Uhr müssen die letzten Gäste gegangen sein;1;0
52;Schwangere erkranken laut einer New Yorker Studie nur selten schwer an Covid-1 Auch Babys sind wohl eher nicht vom Coronavirus betroffen;1;0
53;Auch studentische Vertreter und Vertreterinnen – etwa in den Fachschaften oder den Studierendenparlamenten – haben mit den Folgen der Coronakrise zu kämpfen;1;0
54;Im Grunde ist es köstlich, zu beobachten, wie sich diejenigen, die Trump entlarven wollen, mit jedem weiteren Versuch selbst outen als das, was sie sind;0;0
55;Die nächste Sitzung sei am 1 Juli geplant, teilte das Gericht mit;1;0
56;So wurden in den ersten zehn Monaten vorigen Jahres 19296 SARI-Patienten versorgt, im Jahr 2020 waren es bisher 16375, einschließlich Covid-Fälle;1;0
57;Auf europäischer Ebene werde derzeit verhandelt, um in einer „Koalition der Willigen“ die Übernahme dieser Kinder zu organisieren;0;0
58;Bislang werden noch keine massiven Covid-19-Ausbrüche aus Brasiliens Favelas gemeldet;1;0
59;Aus den Antworten von fast 700 Teilnehmern – 40 Prozent der Angeschriebenen – geht hervor, dass die Zahl der Anfragen nach psychotherapeutischer Beratung im Januar im Vorjahresvergleich um fast 41 Prozent zugenommen hat;1;0
60;Schon jetzt zwingen uns die Fortschritte in den Neuro- und Biotechnologien dazu, zu hinterfragen, was es bedeutet, Mensch zu sein“;0;0
61;Der Schutz des demokratischen Rechtsstaates und ein wirksamer Schutz der Bevölkerung vor gesundheitlichen Gefährdungen schließen sich keineswegs aus;0;0
62;Demnach seien Die Vorschläge sollen laut Planung am 2 November beschlossen werden;0;0
63;Dennoch kamen trotz Einschränkungen auch aus dem Ausland Besucher;1;0
64;Die Regionalverbindung war 2019 laut BEG im Bayernvergleich am unpünktlichsten: Nur in 78,8 Prozent der Fälle kam der Alex pünktlich (oder bis zu 59 Minuten zu spät);1;0
65;Aserbaidschan meldete armenischen Beschuss seiner Dörfer und der zweitgrößten Stadt des Landes, Gandscha;1;0
66;Eisige Stille, unerträglich;2;1
67;Auch Dodon forderte seine Unterstützer und Unterstützerinnen und die Sandus auf, Ruhe zu bewahren;1;0
68;Wenn es nach den Vorschlägen von der Leopoldina geht, die derzeit von der Merkel-Regierung erwogen werden, sollen folgende Maßnahmen umgesetzt werden: Der erste Schritt: Ab dem 1 Dezember unter anderem sollen die Bürger berufliche und private Kontakte auf das absolut notwendige Minimum reduzieren;1;0
69;Nachdem die beiden leichte Erkältungssymptome bemerkten, ließen sie sich auf das Corona-Virus Sars-CoV2 testen;1;0
70;Hier sollen jeweils bis zu eine Million Tonnen Pommes-Kartoffeln auf Abnehmer warten;0;0
71;Dann stehen die rund 300 Hebammen auf und klatschen;0;0
72;"Kommen Sie, wir machen eine Institutsführung."" Und sie steht auf, aus dem flachen Bildausschnitt der zierlichen Frau wird ein bewegtes Energiebündel, das ein Forschungsinstitut leitet";0;0
73;"""Da fallen wir total durchs Raster"", klagt der Puchheimer Peter Bota - obwohl er ein Umsatzminus von etwa 50 Prozent verkraften muss";1;0
74;Um gut ins Thema hineinzukommen, empfiehlt sich der englischsprachige Artikel: „Joe Biden’s disturbing connection to the socialist ‚Great Reset‘ movement“, übersetzt: „Joe Biden’s verstörende Verbindung zur sozialistischen ‚Great Reset‘ Bewegung“, der bereits am 2 Juli 2020 auf FOX News erschien;0;0
75;Platz 1: 823 verkaufte Exemplare: Thorsten Schulte, Fremdbestimmt;2;1
76;Viele Altstädte leben »von einem lebendigen Mix aus Wohnen, Kultur, Gastronomie, Gewerbe und Handel«, erklärte Palmer;1;0
77;Er zählt als der Premierminister, der den Brexit durchgesetzt hat;1;0
78;Marko Holbl (University of Maribor) Prof;2;1
79;Der neue Stamm, der von den in Helsinki ansässigen Vita Laboratories entdeckt wurde, ist angesichts der niedrigen Infektionsrate des Landes wahrscheinlich nicht in Finnland entstanden, so der Evening Standard;1;0
80;Die ersten Niederlagen illustrieren das ganz gut;0;0
81;Behörden in 13 Landkreisen übermittelten gar keine Zahlen zu Neuinfektionen;1;0
82;… Wenn Sie mehr über die heimlichen Machenschaften der Elite erfahren wollen, dann lesen Sie das brisante Enthüllungsbuch „Illuminatenblut: Die okkulten Rituale der Elite“ von Nikolas Pravda, mit einigen Artikeln die bereits von Suchmaschinen zensiert werden;0;0
83;Als sie sich in kleinen Einsatztrupps durch die Menge wühlen, um alle maskenlosen Bürger festzunehmen, ertönen Pfiffe und Buhrufe;0;0
84;Die neuen Regeln dürften umso mehr Diskussionen auslösen, als in Hamburg gerade eine Stadtteilschule wegen einer Vielzahl von Coronainfektionen geschlossen werden musste;1;0
85;Damals gelang es der Regierung, die Infektionszahlen in den marginalen Bereich zu drücken;1;0
86;Unsere Newsletter aus diesen drei Berliner Bezirken können Sie, wie auch alle anderen Bezirksnewsletter vom Tagesspiegel, hier kostenlos bestellen: leute.tagesspiegel.de Madlen Haarbach schreibt aus NEUKÖLLN: Aus dem Bezirk MITTE berichtet Julia Weiss: Aus REINICKENDORF meldet sich Gerd Appenzeller: Gerade in diesen Zeiten ist es wichtig, lieben Menschen zu gratulieren;2;1
87;Was tut die SPD\?;0;0
88;Trotz „dramatischer Corona-Lage“ geht die Aufnahme von Migranten aus griechischen Lagern ins „seuchengeschüttelte“ Deutschland unbeirrt weiter;1;0
89;Für Pharmafirmen hat die Region gleich mehrere Vorteile;0;0
90;3 E 1675/20);0;1
91;Diese hätten dann über zwei Tage verteilt die Covid-Schutzimpfung erhalten;0;0
92;Auch andere Bundesländer haben bis heute nicht die verabredeten Teams aufgestellt;1;0
93;Was erschüttert die Deutschen an dieser Zahl so sehr, dass sie sich seit Tagen in den Schlagzeilen hält\?;0;0
94;Denn er wird als Impfarzt in einem Leverkusener Impfzentrum arbeiten, dort werden alle geimpft, um sich und andere dort zu schützen;2;1
95;In Bayern liegen die Infektionszahlen trotzdem weiter ungewöhnlich hoch;1;0
96;„Für Spieler, die sich unbedingt zeigen und für eine höhere Liga empfehlen wollen, wird es schwer“, sagt Lukas Wilton;1;0
97;Und schließlich sollte man sich fragen, wie viele Menschen betroffen sein könnten, wenn etwas schiefgeht;0;0
98;Jeder Vorschlag des anderen wird darauf abgeklopft, ob es nicht doch ein Manöver zum Schaden des parteiinternen Gegners ist;0;0
99;Hier haben Betriebe angerufen, die sind in so existenziellen Nöten, dass sie das nicht finanzieren können;0;0
100;Auf manchen Friedhöfen gebe es eine überdachte Fläche vor der Trauerhalle;0;0
101;Sie schlagen mit ihren Gummiknüppeln auf die Metallschilder ein, die sie bei sich tragen;1;0
102;Anfang Mai wähnte sich die nationalpopulistische Regierungspartei PiS auf sicherem Kurs zur Wiederwahl des aus ihren Reihen stammenden Staatspräsidenten Andrzej Duda;1;0
103;Sprechstunde pro familia;2;1
104;"Der Inhalt der Mails, die dem britischen Morning Star vorliegen, deuten darauf hin, dass – ähnlich wie schon zuvor in Venezuela – US-Söldner an einer ""einzigartigen Mission"" in Bolivien teilnehmen sollten";1;0
105;ZEIT ONLINE: Inwiefern\?;0;0